Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
0.0,5.0,0.06
0.0,5.01,-0.47
0.0,5.02,0.37
0.0,5.03,-0.31
0.0,5.04,0.1
0.0,5.05,-0.08
0.0,5.06,-0.07
0.0,5.07,-0.14
0.0,5.08,0.42
0.0,5.09,-0.2
0.0,5.1,-0.21
0.0,5.11,0.51
0.0,5.12,-0.31
0.0,5.13,0.09
0.0,5.14,0.21
0.0,5.15,-0.01
0.0,5.16,0.52
0.0,5.17,-0.45
0.0,5.18,-0.5
0.0,5.19,0.08
0.0,5.2,-0.09
0.0,5.21,0.46
0.0,5.22,-0.29
0.0,5.23,-0.27
0.0,5.24,0.5
0.0,5.25,-0.11
0.0,5.26,-0.11
0.0,5.27,-0.2
0.0,5.28,0.27
0.0,5.29,-0.22
0.0,5.3,0.09
0.0,5.31,0.21
0.0,5.32,-0.38
0.0,5.33,0.04
0.0,5.34,0.06
0.0,5.35,0.11
0.0,5.36,-0.06
0.0,5.37,-0.03
0.0,5.38,0.07
0.0,5.39,0.29
0.0,5.4,-0.32
0.0,5.41,0.61
0.0,5.42,-0.01
0.0,5.43,-0.31
0.0,5.44,-0.44
0.0,5.45,0.49
0.0,5.46,0.23
0.0,5.47,-0.21
0.0,5.48,-0.35
0.0,5.49,0.11
0.0,5.5,0.24
0.0,5.51,-0.47
0.0,5.52,-0.05
0.0,5.53,-0.04
0.0,5.54,0.15
0.0,5.55,0.5
0.0,5.56,-0.54
0.0,5.57,0.22
0.0,5.58,-0.27
0.0,5.59,0.46
0.0,5.6,-0.21
0.0,5.61,0.13
0.0,5.62,0.14
0.0,5.63,0.04
0.0,5.64,-0.2
0.0,5.65,0.26
0.0,5.66,-0.17
0.0,5.67,-0.31
0.0,5.68,0.75
0.0,5.69,-0.04
0.0,5.7,-0.56
0.0,5.71,0.65
0.0,5.72,-0.65
0.0,5.73,0.03
0.0,5.74,-0.05
0.0,5.75,-0.09
0.0,5.76,0.03
0.0,5.77,-0.01
0.0,5.78,0.1
0.0,5.79,-0.17
0.0,5.8,0.2
0.0,5.81,0.15
0.0,5.82,-0.33
0.0,5.83,0.15
0.0,5.84,-0.05
0.0,5.85,0.17
0.0,5.86,-0.23
0.0,5.87,-0.04
0.0,5.88,-0.12
0.0,5.89,-0.01
0.0,5.9,0.04
0.0,5.91,0.22
0.0,5.92,0.26
0.0,5.93,-0.41
0.0,5.94,-0.09
0.0,5.95,-0.01
0.0,5.96,0.36
0.0,5.97,0.14
0.0,5.98,0.38
0.0,5.99,-0.22
0.0,6.0,-0.37
0.0,6.01,0.75
0.0,6.02,0.48
0.0,6.03,-0.14
0.0,6.04,-0.25
0.0,6.05,-0.73
0.0,6.06,0.04
0.0,6.07,0.18
0.0,6.08,-0.27
0.0,6.09,0.25
0.0,6.1,-0.27
0.0,6.11,-0.09
0.0,6.12,-0.18
0.0,6.13,-0.1
0.0,6.14,-0.01
0.0,6.15,0.26
0.0,6.16,0.29
0.0,6.17,0.02
0.0,6.18,-0.05
0.0,6.19,-0.05
0.0,6.2,-0.07
0.0,6.21,0.0
0.0,6.22,0.32
0.0,6.23,-0.25
0.0,6.24,0.5
0.0,6.25,-0.02
0.0,6.26,-0.01
0.0,6.27,-0.53
0.0,6.28,-0.15
0.0,6.29,0.01
0.0,6.3,-0.21
0.0,6.31,0.08
0.0,6.32,0.63
0.0,6.33,-0.33
0.0,6.34,-0.34
0.0,6.35,-0.01
0.0,6.36,0.16
0.0,6.37,0.11
0.0,6.38,0.08
0.0,6.39,-0.04
0.0,6.4,-0.18
0.0,6.41,0.48
0.0,6.42,-0.31
0.0,6.43,-0.41
0.0,6.44,0.12
0.0,6.45,0.18
0.0,6.46,0.42
0.0,6.47,0.18
0.0,6.48,-0.07
0.0,6.49,-0.15
0.0,6.5,-0.69
0.0,6.51,0.12
0.0,6.52,0.08
0.0,6.53,0.08
0.0,6.54,-0.12
0.0,6.55,0.08
0.0,6.56,0.68
0.0,6.57,-0.36
0.0,6.58,-0.31
0.0,6.59,0.13
0.0,6.6,0.3
0.0,6.61,-0.06
0.0,6.62,-0.01
0.0,6.63,0.16
0.0,6.64,-0.39
0.0,6.65,0.25
0.0,6.66,0.01
0.0,6.67,-0.41
0.0,6.68,0.24
0.0,6.69,-0.13
0.0,6.7,-0.34
0.0,6.71,0.2
0.0,6.72,0.31
0.0,6.73,0.45
0.0,6.74,-0.34
0.0,6.75,0.1
0.0,6.76,0.07
0.0,6.77,-0.5
0.0,6.78,0.02
0.0,6.79,-0.07
0.0,6.8,0.32
0.0,6.81,-0.25
0.0,6.82,0.0
0.0,6.83,-0.36
0.0,6.84,0.69
0.0,6.85,0.05
0.0,6.86,-0.59
0.0,6.87,-0.1
0.0,6.88,0.21
0.0,6.89,0.33
0.0,6.9,-0.46
0.0,6.91,-0.09
0.0,6.92,0.24
0.0,6.93,0.21
0.0,6.94,-0.24
0.0,6.95,-0.18
0.0,6.96,-0.02
0.0,6.97,0.26
0.0,6.98,0.2
0.0,6.99,0.1
0.0,7.0,0.16
0.0,7.01,-0.26
0.0,7.02,-0.2
0.0,7.03,-0.14
0.0,7.04,0.22
0.0,7.05,-0.11
0.0,7.06,0.18
0.0,7.07,-0.3
0.0,7.08,0.76
0.0,7.09,-0.53
0.0,7.1,-0.06
0.0,7.11,0.35
0.0,7.12,0.11
0.0,7.13,-0.21
