Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
34.01,120.03,-0.32
33.72,120.04,-0.82
33.57,120.05,-0.43
33.35,120.06,-0.61
33.32,120.07,-0.1
33.42,120.08,0.29
33.38,120.09,-0.12
33.23,120.1,-0.43
32.7,120.11,-1.48
32.66,120.12,-0.13
32.84,120.13,0.52
33.02,120.14,0.49
33.38,120.15,1.02
33.91,120.16,1.51
34.41,120.17,1.41
34.74,120.18,0.95
34.37,120.19,-1.06
34.26,120.2,-0.31
34.11,120.21,-0.42
33.86,120.22,-0.71
33.9,120.23,0.11
33.59,120.24,-0.88
33.66,120.25,0.19
33.45,120.26,-0.59
33.24,120.27,-0.59
33.44,120.28,0.58
33.62,120.29,0.5
33.71,120.3,0.26
33.44,120.31,-0.76
33.24,120.32,-0.57
33.47,120.33,0.66
33.64,120.34,0.48
33.9,120.35,0.74
34.05,120.36,0.41
34.04,120.37,-0.04
33.69,120.38,-0.98
33.68,120.39,-0.02
33.78,120.4,0.27
33.98,120.41,0.56
33.92,120.42,-0.18
33.43,120.43,-1.38
33.47,120.44,0.12
33.52,120.45,0.14
33.1,120.46,-1.18
33.25,120.47,0.41
33.27,120.48,0.07
33.71,120.49,1.26
33.96,120.5,0.7
33.83,120.51,-0.37
33.93,120.52,0.29
33.8,120.53,-0.38
33.88,120.54,0.23
33.73,120.55,-0.43
33.41,120.56,-0.89
33.41,120.57,-0.01
33.5,120.58,0.27
33.05,120.59,-1.28
32.98,120.6,-0.21
33.24,120.61,0.74
33.27,120.62,0.07
33.66,120.63,1.12
33.78,120.64,0.35
33.51,120.65,-0.78
33.71,120.66,0.57
33.37,120.67,-0.97
33.67,120.68,0.85
33.96,120.69,0.84
33.96,120.7,0.0
33.73,120.71,-0.65
33.95,120.72,0.62
34.03,120.73,0.23
33.88,120.74,-0.43
33.59,120.75,-0.82
33.65,120.76,0.17
33.94,120.77,0.81
33.88,120.78,-0.17
33.96,120.79,0.24
33.88,120.8,-0.24
33.58,120.81,-0.84
33.78,120.82,0.56
33.9,120.83,0.34
33.43,120.84,-1.32
33.45,120.85,0.04
33.48,120.86,0.08
33.47,120.87,-0.03
33.74,120.88,0.76
34.15,120.89,1.16
34.17,120.9,0.06
33.94,120.91,-0.64
34.09,120.92,0.41
33.92,120.93,-0.48
33.47,120.94,-1.27
33.58,120.95,0.31
33.58,120.96,0.01
33.73,120.97,0.42
34.19,120.98,1.3
34.1,120.99,-0.25
33.49,121.0,-1.73
33.33,121.01,-0.45
