Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
45.63,607.0,0.31
45.71,607.01,0.22
45.88,607.02,0.48
45.75,607.03,-0.36
45.72,607.04,-0.09
45.5,607.05,-0.61
45.48,607.06,-0.05
45.36,607.07,-0.33
45.31,607.08,-0.15
45.19,607.09,-0.33
45.27,607.1,0.23
45.32,607.11,0.13
45.39,607.12,0.2
45.57,607.13,0.52
45.29,607.14,-0.8
45.22,607.15,-0.2
45.26,607.16,0.12
45.41,607.17,0.41
45.73,607.18,0.92
45.64,607.19,-0.27
45.55,607.2,-0.25
45.47,607.21,-0.22
45.9,607.22,1.22
46.32,607.23,1.19
46.09,607.24,-0.68
45.81,607.25,-0.77
45.55,607.26,-0.74
45.49,607.27,-0.17
45.23,607.28,-0.73
45.42,607.29,0.52
45.37,607.3,-0.12
45.36,607.31,-0.04
45.4,607.32,0.12
45.21,607.33,-0.54
44.92,607.34,-0.82
44.65,607.35,-0.76
44.68,607.36,0.08
44.66,607.37,-0.06
44.99,607.38,0.95
45.5,607.39,1.43
45.54,607.4,0.12
45.65,607.41,0.31
45.3,607.42,-0.97
45.21,607.43,-0.27
45.14,607.44,-0.19
45.21,607.45,0.18
45.31,607.46,0.28
45.72,607.47,1.18
45.87,607.48,0.42
45.63,607.49,-0.68
45.51,607.5,-0.34
45.21,607.51,-0.86
45.2,607.52,-0.01
45.14,607.53,-0.17
44.9,607.54,-0.69
45.46,607.55,1.61
45.65,607.56,0.53
45.57,607.57,-0.22
45.34,607.58,-0.66
45.45,607.59,0.32
45.63,607.6,0.5
45.43,607.61,-0.57
45.1,607.62,-0.94
44.64,607.63,-1.3
44.72,607.64,0.22
44.9,607.65,0.52
44.86,607.66,-0.1
44.74,607.67,-0.35
45.04,607.68,0.84
45.05,607.69,0.05
45.38,607.7,0.91
45.67,607.71,0.82
45.98,607.72,0.9
45.75,607.73,-0.67
45.72,607.74,-0.09
45.79,607.75,0.2
45.85,607.76,0.2
45.6,607.77,-0.71
45.5,607.78,-0.3
45.31,607.79,-0.51
45.22,607.8,-0.27
45.37,607.81,0.43
45.02,607.82,-0.98
44.54,607.83,-1.37
44.6,607.84,0.16
44.34,607.85,-0.74
44.26,607.86,-0.24
44.04,607.87,-0.62
44.15,607.88,0.31
44.49,607.89,0.98
44.68,607.9,0.52
45.11,607.91,1.23
45.42,607.92,0.89
45.61,607.93,0.52
45.65,607.94,0.12
45.47,607.95,-0.52
45.58,607.96,0.33
45.44,607.97,-0.39
45.45,607.98,0.03
45.76,607.99,0.88
