Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
32.06,673.0,0.65
32.65,673.01,1.67
32.75,673.02,0.27
32.29,673.03,-1.29
32.53,673.04,0.69
32.59,673.05,0.18
32.76,673.06,0.48
32.63,673.07,-0.37
33.13,673.08,1.42
32.97,673.09,-0.46
33.57,673.1,1.69
33.3,673.11,-0.75
33.37,673.12,0.18
32.24,673.13,-3.2
31.68,673.14,-1.59
31.8,673.15,0.34
32.66,673.16,2.45
32.91,673.17,0.7
32.44,673.18,-1.34
32.79,673.19,1.0
33.42,673.2,1.79
33.41,673.21,-0.05
34.03,673.22,1.76
34.57,673.23,1.52
34.03,673.24,-1.52
33.37,673.25,-1.87
32.59,673.26,-2.22
32.47,673.27,-0.34
32.8,673.28,0.94
32.5,673.29,-0.86
32.6,673.3,0.3
32.84,673.31,0.69
33.84,673.32,2.83
34.37,673.33,1.5
34.01,673.34,-1.02
33.49,673.35,-1.49
32.65,673.36,-2.36
33.04,673.37,1.1
33.66,673.38,1.74
33.24,673.39,-1.18
33.67,673.4,1.22
33.64,673.41,-0.07
33.62,673.42,-0.05
33.29,673.43,-0.94
33.41,673.44,0.34
33.66,673.45,0.72
33.48,673.46,-0.52
32.91,673.47,-1.61
32.66,673.48,-0.71
33.24,673.49,1.63
32.68,673.5,-1.57
33.34,673.51,1.85
32.64,673.52,-1.97
32.89,673.53,0.7
33.36,673.54,1.32
34.26,673.55,2.55
33.57,673.56,-1.95
33.74,673.57,0.49
33.43,673.58,-0.88
33.81,673.59,1.06
32.19,673.6,-4.58
32.24,673.61,0.14
33.06,673.62,2.33
33.29,673.63,0.66
32.83,673.64,-1.31
32.9,673.65,0.19
33.64,673.66,2.1
33.43,673.67,-0.59
33.7,673.68,0.76
34.18,673.69,1.37
33.9,673.7,-0.81
33.18,673.71,-2.04
33.0,673.72,-0.51
32.77,673.73,-0.65
33.5,673.74,2.07
33.82,673.75,0.9
33.27,673.76,-1.55
33.53,673.77,0.72
33.32,673.78,-0.57
32.9,673.79,-1.21
32.14,673.8,-2.15
33.18,673.81,2.96
33.47,673.82,0.81
33.23,673.83,-0.67
33.0,673.84,-0.67
33.29,673.85,0.83
33.07,673.86,-0.63
32.47,673.87,-1.71
32.41,673.88,-0.16
33.03,673.89,1.77
33.67,673.9,1.81
33.69,673.91,0.06
34.15,673.92,1.31
34.27,673.93,0.33
34.74,673.94,1.31
34.32,673.95,-1.18
33.68,673.96,-1.82
33.3,673.97,-1.07
32.88,673.98,-1.18
32.48,673.99,-1.12
