Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
36.08,237.0,-0.31
35.99,237.01,-0.26
35.76,237.02,-0.65
35.73,237.03,-0.1
35.68,237.04,-0.14
36.24,237.05,1.58
36.11,237.06,-0.37
35.94,237.07,-0.46
35.51,237.08,-1.23
34.98,237.09,-1.51
35.11,237.1,0.36
35.11,237.11,0.01
35.04,237.12,-0.21
35.09,237.13,0.15
34.92,237.14,-0.47
34.93,237.15,0.03
35.03,237.16,0.28
34.91,237.17,-0.34
35.0,237.18,0.26
35.11,237.19,0.31
35.16,237.2,0.12
35.18,237.21,0.08
35.12,237.22,-0.16
35.27,237.23,0.42
35.47,237.24,0.54
35.64,237.25,0.5
35.65,237.26,0.03
35.93,237.27,0.78
35.89,237.28,-0.11
35.89,237.29,0.01
35.99,237.3,0.28
35.86,237.31,-0.38
36.26,237.32,1.13
36.07,237.33,-0.54
35.9,237.34,-0.49
35.8,237.35,-0.27
35.93,237.36,0.37
36.04,237.37,0.29
35.96,237.38,-0.22
35.56,237.39,-1.14
35.37,237.4,-0.53
35.23,237.41,-0.41
35.39,237.42,0.47
35.48,237.43,0.25
35.54,237.44,0.17
35.72,237.45,0.52
35.78,237.46,0.16
35.99,237.47,0.59
35.71,237.48,-0.8
35.68,237.49,-0.07
35.64,237.5,-0.11
35.51,237.51,-0.38
35.61,237.52,0.28
35.69,237.53,0.25
36.0,237.54,0.86
36.03,237.55,0.09
36.0,237.56,-0.09
36.47,237.57,1.32
36.28,237.58,-0.52
36.01,237.59,-0.77
36.3,237.6,0.82
36.36,237.61,0.19
36.16,237.62,-0.58
35.89,237.63,-0.78
36.43,237.64,1.53
36.63,237.65,0.59
36.88,237.66,0.69
36.79,237.67,-0.25
36.54,237.68,-0.72
36.22,237.69,-0.89
35.74,237.7,-1.37
35.52,237.71,-0.63
35.35,237.72,-0.47
35.47,237.73,0.33
35.88,237.74,1.16
35.87,237.75,-0.02
35.94,237.76,0.2
35.69,237.77,-0.72
35.72,237.78,0.11
35.6,237.79,-0.36
35.4,237.8,-0.56
35.17,237.81,-0.65
35.01,237.82,-0.45
35.22,237.83,0.6
35.78,237.84,1.58
36.15,237.85,1.05
36.41,237.86,0.72
36.39,237.87,-0.05
36.29,237.88,-0.26
36.39,237.89,0.27
36.72,237.9,0.92
36.66,237.91,-0.17
36.53,237.92,-0.37
36.51,237.93,-0.05
36.33,237.94,-0.52
35.96,237.95,-1.03
36.18,237.96,0.61
36.44,237.97,0.73
36.35,237.98,-0.27
36.37,237.99,0.07
